Time (s),Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
0.001000931,-0.22014986940846712,0.011136632770566118,-0.6343037795482918,-0.002729840703698964,-0.028989560146110295,0.0037611402025430497
0.008259048,-0.27578448089758345,0.06491674395417531,-0.6805997607619906,-0.008392396311968236,-0.03544735737360319,0.0040846370133140455
0.015986129,-0.2478200406615801,0.16071237533399008,-0.578714235430767,-0.015779347116940082,-0.032430449570295686,0.003232862995737401
0.024201033,-0.0758530309411,0.14536634577734578,-0.7540575547403359,-0.01604183584420319,-0.013257220567900907,0.0065676008472053725
0.031936495,-0.2094638232402108,0.031216941692121504,-0.7111889158522764,-0.004272463492928871,-0.027480673440896337,0.006327270144158458
0.040082249,-0.2358590702053189,0.09407376474997085,-0.5141925494882305,-0.01097627348835493,-0.030977601728891843,0.004094150875919583
0.047803393,-0.1375984199530735,0.041739596847543865,-0.5654178110692074,-0.007215030682166883,-0.02035594919449236,0.002993673385649639
0.056186492,-0.1319550233769024,-0.017276527012753853,-0.551233564492098,-0.0013295752173111603,-0.02138666973627585,0.002671884731089086
0.06356412,-0.2038718620344689,-0.005130866308451776,-0.5880422432679017,-0.0008610877814551769,-0.027814090915478512,0.0045386255333730975
0.071754647,-0.16643042227113233,0.20431577992990063,-0.827886845132245,-0.02373793935679276,-0.02367297134968782,0.00624564484002713
0.080333113,-0.17091892002138062,-0.013194542360383588,-0.5158241549128091,0.0002367574270073303,-0.02435619201459764,0.004304913926598672
0.088178727,-0.12930760767440902,-0.135754855344457,-0.6876637449408761,0.014207061996718718,-0.021485440090995938,0.0044198094940244076
0.096072327,-0.2415425672173217,0.06000020799693376,-0.6964466429549424,-0.00836447765554412,-0.03575440439483919,0.00866405553292789
0.104215566,-0.13121008054586603,0.15222292812873783,-0.4852922142551457,-0.01518230803051299,-0.019151731159000727,0.005222156451023659
0.11215813,-0.16361253058957678,0.024336513869526233,-0.5625899202760948,-0.006982059876801167,-0.025440793484153557,0.0030505164620097903
0.119766678,-0.32501002995150247,0.2211650647554429,-0.7521806437994247,-0.02458136525363683,-0.04154289295384718,0.005475612163846503
0.127882467,-0.22036167793203482,0.06652956353624662,-0.7124556873355025,-0.008998327074370613,-0.0305429934922724,0.00480209977750326
