Time (s),Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
0.001130031,-0.10071454345537546,0.051318168723346574,-0.5692136817203582,-0.008477551779005332,-0.017465036635915795,0.0033820554166885328
0.008102418,-0.3169337972729351,0.1459311409193024,-0.6702614668646373,-0.017074955029588095,-0.0405559186908358,0.0019658239762197867
0.015453274,-0.18930374336322903,-0.09545904654979065,-0.684772603537099,0.007619584800661211,-0.026971987032654098,0.0018366335986717709
0.024047653,-0.15260578626335136,0.08909564398499162,-0.6180245816232148,-0.01243755060406017,-0.020931442869366657,0.004005530112912544
0.032160337,-0.14219960330147993,0.007893863709847612,-0.6467839411874582,-0.003041613103388429,-0.021439778481780306,0.004666373803206522
0.039752773,-0.12859953812193337,0.014301592964582055,-0.41597306818553426,-0.004083662283940448,-0.021477939833934367,0.00201328958965152
0.048103476,-0.035383357187584535,0.045423286364256646,-0.5275171772004033,-0.004245105320362893,-0.009094129633407956,-0.00019758494872427346
0.0558511,-0.1426659321459623,0.021646868543933412,-0.6259169560091038,-0.004371773613902597,-0.022493980772914746,0.003955237791736604
0.064003524,-0.14022897981885463,-0.10562036976955073,-0.6585969863770503,0.011310836482397627,-0.02087058394420908,0.001066188951918602
0.072223903,-0.11075730588063865,-0.021349464211383673,-0.5493508746774317,0.002067243643767983,-0.01593843417426437,0.002484353732239612
0.080158561,-0.1919671610137872,0.12715486724520825,-0.6070891559320835,-0.014395822750289014,-0.025448628893602294,0.003510840663912498
0.088083442,-0.22699526520553884,0.11265889484825377,-0.5316510110555674,-0.013465428402260013,-0.0291691571695462,0.003860438857169214
0.095738247,-0.16547353058433387,0.060874608885213274,-0.6416091191162933,-0.00873567874094438,-0.02457511310130194,0.003898114421208113
0.103443897,-0.28026735602363323,0.1478093233429138,-0.5955718672078132,-0.01830955527107735,-0.03842736769786609,0.004108520093649456
0.111492536,-0.15246525522832274,0.03690953427674143,-0.5892303641116644,-0.004954891467341141,-0.02186277954823562,0.0037907243423701735
0.120078744,0.06331294323261058,-0.013633966170449784,-0.5158404053155733,1.750088251697068e-05,0.0005573663969351784,0.004390829586256243
0.12817711,-0.09760727592667172,-0.061148263430763954,-0.5056443978713545,0.005017071072975875,-0.013733677523258549,0.0035504648872854002
0.136024398,-0.19084626635906354,0.15128969374499748,-0.5794600532980095,-0.01765502247477091,-0.026962378571863205,0.0044932960299733805
0.143989367,-0.20601892333825533,-0.03031581944129018,-0.6732747478499315,0.0006703029401388815,-0.02580063346884898,0.0034863640731070938
0.151758712,-0.17367003882500534,0.10865049360343479,-0.7660319468376934,-0.01375036473850922,-0.024196261566295903,0.0024508811371549847
0.160028748,-0.21519411892859863,0.011157246796883152,-0.7633024750400409,-0.004795778090492019,-0.028327077409002015,0.003153747123434327
0.168081788,-0.08760698116489556,0.09240482445038457,-0.6287054266324908,-0.01205831070836532,-0.01415512726967683,0.0012604055179607663
0.176235399,-0.06742999897839448,-0.07202621709887862,-0.8095702915704379,0.004210798817818051,-0.014856264822044711,0.004037550925914753
0.184213219,-0.027441018606644732,-0.08739060433587433,-0.609734855830709,0.00456135806115018,-0.010609105855200345,0.002368692587789307
0.192057224,-0.09366147307319202,0.11218566957723507,-0.5478605298304903,-0.012368118934607982,-0.015845431336732788,0.00717754183954877
0.199997819,-0.1314654430483432,0.057810268626477944,-0.7189877299536174,-0.008555509226844345,-0.018566662724950653,0.004107112574872498
