Time,Fx,Fy,Fz,Tx,Ty,Tz,Px,Py,Pz,Qx,Qy,Qz,Qw,Vj1,Vj2,Vj3,Vj4,Vj5,Vj6
0.000459637,-0.0365275057648428,0.0692301724966172,0.203667056715982,0.00651352571920554,0.00201875399322674,-0.000945676180646285,-0.2473506484346,-0.0153232769494999,0.454322382151531,0.0786062357879559,0.992533101110493,0.0906086473291562,-0.0221173218183758,0,0,0,0,0,0
0.048520386,-0.0797488264558256,-0.00281142209264782,-0.10108359268901,0.00122512947068226,0.00365880679662194,-0.00117291665783494,-0.247353067850491,-0.0153159272565088,0.454321688401289,0.0786192880495588,0.992532809153398,0.0906018222550147,-0.0221119900668466,0,0,0,0,0,0
0.0841812,0.0155422118696994,0.103923970369042,-0.115025565409946,0.00307679008871506,-0.00284184005027114,0.000148630283511192,-0.247353067850491,-0.0153159272565088,0.454321688401289,0.0786192880495588,0.992532809153398,0.0906018222550147,-0.0221119900668466,0,0,0,0,0,0
0.120667349,0.0853414475166577,0.117210575818367,-0.226212200994712,0.00310646920109451,-0.00130664807391118,2.79438301820908E-05,-0.247353067850491,-0.0153159272565088,0.454321688401289,0.0786192880495588,0.992532809153398,0.0906018222550147,-0.0221119900668466,0,0,0,0,0,0
0.1609084,0.00938216635672434,0.0436946879686474,0.0199706254608514,0.00218673854497536,-0.00243120157063098,0.0021417382593191,-0.247353067850491,-0.0153159272565088,0.454321688401289,0.0786192880495588,0.992532809153398,0.0906018222550147,-0.0221119900668466,0,0,0,0,0,0
0.201236965,0.156362614356307,0.0392528569805533,0.0694502522951496,0.00331696722361335,-0.0030622268022878,-0.000691086579683093,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.240752556,0.0708358562675406,0.0287541628778307,0.0186263953163173,0.00183671765888282,-0.00110546548169286,0.000731951119789873,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.277879655,0.130305015045235,-0.0185803429471087,-0.00129501723901288,-0.00312774236376534,-0.00570009825545387,0.000539550103452263,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.310299262,0.128459151377884,-0.0703001523534958,-0.0481856458205584,-0.00161979845126385,-0.00460677694582215,-0.00136251437043866,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.341450799,0.00494507668533473,-0.031335586071883,-0.28344405271631,-0.0039646397569597,0.00185320471072524,0.000456164422414349,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.376548329,0.0118727378386081,-0.001145409378283,-0.145761280808554,-0.00304729202638495,-0.000702689653366844,-0.00135900099824993,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.408367006,0.0677993977322106,-0.0935992123365556,-0.188898495253043,-0.00541567411252517,-0.00104158328767733,-0.00121097909040173,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.440501933,0.0106086340772049,-0.0824627401752606,-0.211927632263461,-0.00277611108523935,-0.00338266513022517,8.93971936710618E-05,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.477325564,-0.0922214753470461,0.0163039660015498,0.0190094693123635,0.00351908719368058,0.00532319101727394,0.000381080595242801,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.509821021,-0.063289422914536,-0.0478928218974879,-0.0910303808013251,-0.00024751469050742,0.00198995371167376,0.000463944896247283,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.542113235,-0.0440351929078217,0.0266869819281972,-0.181685184817553,0.00179021045770904,0.00376724861480425,-0.000930736182107451,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.577639601,-0.0105507777236973,-0.037525382205385,-0.110367392131559,-0.00209574370467114,0.00411259285781548,0.000252042576962691,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.609297011,-0.114858454271847,-0.00546820310685975,-0.21317882360698,0.00173253872407812,0.00380251829147026,0.00131769944515887,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.640891632,0.149775709484749,0.0632277138963918,0.115396323482854,0.00177347795107139,-0.00241856791819768,0.000797326353137569,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.677960691,0.0986868425921242,0.0586406021321964,0.101853528890307,0.00396012204006689,-0.00270846598687745,-0.00047758554970791,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.709068995,0.054718541007965,0.078543974953288,0.0205961867239378,0.00559467767406184,-0.00346649607654267,0.000474901666895257,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.745341633,0.09955462110355,0.111065120122546,0.150459360457591,0.00613805081222555,-0.00192132329834443,-0.000271400408070062,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.778204464,0.254513327483527,-0.0107655106656029,-0.128260530157592,-0.00103933851169306,-0.0061728731395394,0.00238142490069618,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.809394973,-0.0774979781187841,-0.103697253785798,-0.26863267143597,-0.00280070996731295,0.000949892985189799,0.000148611653755852,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.845862823,0.016723046718256,-0.026840951692452,-0.0233079215942732,0.00113320573370307,-0.000298278447273153,-0.000495512693274696,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.877429367,-0.809632948497255,0.317114259713866,3.38947894157133,0.0418761634847826,-0.0573948150991156,-0.0259487489006935,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,0,0,0,0,0,0
0.909586644,-0.199839418877032,0.189650265919801,0.390240928432024,-0.011161497510231,-0.0218871872101647,0.0284310365140849,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,-0.0763375088572502,-0.0587698481976986,-0.176866933703423,0.16418819129467,-0.0802687779068947,-0.0724493712186813
0.944490987,-0.173812782449655,-0.0323581006079194,-0.749876108956955,-0.0112835065180216,-0.013387788906601,0.0344324282913673,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,-0.129466190934181,-0.110225543379784,-0.309659779071808,0.299653470516205,-0.150701448321342,-0.122327074408531
0.976843545,-0.0502247869429506,0.809874345662348,-0.462422880048293,-0.033205548522467,-0.00304587898249647,0.0492383337170436,-0.247357691449077,-0.0153171247183005,0.454308873260483,0.0786152875145962,0.992534087684916,0.0905960082295355,-0.0220926378086393,-0.131031081080437,-0.112094692885876,-0.328831940889359,0.307107031345367,-0.148374438285828,-0.130090281367302
