Time,Fx,Fy,Fz,Tx,Ty,Tz,Px,Py,Pz,Qx,Qy,Qz,Qw
0.007509914,-0.9643044822232127,-0.07859538086655504,-0.3364312283531287,0.01478072911243181,-0.2033306828879675,0.008816765684952039,-0.18225765845760875,-0.044648604048067614,0.6079019467111898,0.1513371109466337,0.8585449322214831,0.06190293313531854,-0.48596883138363867
0.014885312,0.31275148276419834,-0.29704109975927007,-0.6690420839995124,0.04906508645685634,0.017833029611407543,0.006255894951194364,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.023414292,-0.3430981441266796,-0.5249086306483749,-0.8147135113681284,0.0884581342862372,-0.08689511502597003,0.00798942556271632,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.53079741,-0.4526743790940412,0.7132344664213451,-0.6152944119889182,-0.10258190426988398,-0.1024813173305999,0.006622018367367523,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.565393287,-0.3978509130058822,0.65580843641405,-0.5545799757416434,-0.09274917043226236,-0.0985216802000213,0.007974299935059659,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.597370433,-0.3215400835771415,0.6110803909201776,-0.5993791438130476,-0.08869868371338059,-0.0858936536323692,0.004724660816718948,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.633139378,-0.2806244298723429,0.5289994095235725,-0.4667000314476843,-0.0775421477182682,-0.08289885376449893,0.006530632185653357,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.664745243,-0.3738909514363417,0.5188761439838678,-0.4140265129178654,-0.07877827307776672,-0.09266784939319346,0.007930221468232579,-0.18228150806043575,-0.04463662041861083,0.6078868451082108,0.15134339400408772,0.858567674954728,0.061887205323005436,-0.4859286968593894
0.701162532,-0.5317647266161791,0.3010950931965811,-0.26133848075745697,-0.047431431834974266,-0.09103373507337498,1.2812303597851352e-05,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.733562922,0.07184796359054012,0.04487797513943896,0.04663186725436938,-0.00899616852967667,0.012717693749092165,0.0013357239014429693,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.769734297,0.08499655747259985,0.19426595251838677,-0.378465177654394,-0.029151576388969792,0.017109476160313768,0.0032542454971488575,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.801866842,0.002691633529415524,-0.08772170973827345,0.1708365712833645,0.014042102671552908,0.0025848399874340198,0.0030244420879416553,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.837907542,0.18845321700308992,0.14792936513821678,-0.2863152024719924,-0.02450149837071518,0.023969870130514524,0.0033567043603054156,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.869013338,-0.007431053522375906,-0.11378763585125508,-0.08671149094313366,0.02019861894511076,-0.004086586537163833,0.002010521910781508,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.906081556,0.0868073564922583,0.19259572553694182,-0.21225569524330537,-0.032253386863256635,0.0117487838547134,0.0007631182633279008,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.938763549,0.10325774193803082,-0.19917610925226104,-0.07505849783018487,0.03226596141632801,0.008876444146478889,0.001110921340842277,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
0.973098635,0.080503179104632,0.1310607260790253,-0.3289149198424627,-0.021076768641416742,0.010935401784334324,0.0025635995607566214,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.004856407,0.07020411078296837,-0.12765045850543796,-0.35829360332903276,0.015817641902005866,0.006856218437423723,0.001111563766933289,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.037355344,-0.04996010169723018,0.012309430920071078,-0.2709499147032259,-0.00215468388235284,-0.009414625770109014,0.000771438350765614,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.07315921,-0.3737280574728184,-0.12916478158304814,-1.2468960843487706,0.019352465909424264,-0.0674207326345676,0.08324928508209095,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.10589561,-0.056621665591321646,-0.35496933759587396,-1.215567872421789,0.05248384228425548,-0.014747165389000668,0.08810253929509088,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.141559093,0.03817263479520572,-0.3842465913314904,-1.557484043006465,0.051501661782513426,0.009410763190237738,0.08976485600325794,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
1.173612367,-0.08294362428086471,-0.41837397341165045,-1.0790990412679207,0.06029062901634133,-0.008023559612059854,0.09144669543892389,-0.18230031528497231,-0.04462043260490446,0.6078747672607961,0.15136582748518423,0.8585826190376902,0.06190306457924242,-0.48589328370723983
